Window Name,Username,User ID,Review,Sentiment
Amazon,PriyaS_93,U1001,The product stopped working after a week.,Negative
Flipkart,Vinay_47,U1002,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,AmitB_87,U1003,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,RohitP_86,U1004,"It's fine for casual use, but not professional work.",Neutral
Flipkart,MeeraJain_85,U1005,Very bad customer service experience.,Negative
Amazon,Vinay_38,U1006,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,ArjunDev_85,U1007,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,MeeraJain_81,U1008,The headphones have crystal clear sound and great bass.,Positive
Flipkart,RahulK_10,U1009,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,MeeraJain_40,U1010,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,ArjunDev_12,U1011,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,MeeraJain_82,U1012,"Design is nice, but functionality could be better.",Neutral
Flipkart,Vinay_57,U1013,Amazing product quality and quick delivery.,Positive
Flipkart,Vinay_13,U1014,"It's fine for casual use, but not professional work.",Neutral
Amazon,SnehaM_79,U1015,The headphones have crystal clear sound and great bass.,Positive
Amazon,PriyaS_14,U1016,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Flipkart,SnehaM_74,U1017,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,PriyaS_88,U1018,"Performance is average, nothing exceptional.",Neutral
Flipkart,MeeraJain_35,U1019,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Flipkart,PriyaS_41,U1020,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,RahulK_15,U1021,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,RahulK_42,U1022,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,KunalV_30,U1023,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,SimranK_68,U1024,Amazing product quality and quick delivery.,Positive
Amazon,PriyaS_94,U1025,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Flipkart,SnehaM_71,U1026,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,KunalV_85,U1027,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,SnehaM_52,U1028,Poor build quality and slow performance.,Negative
Flipkart,RahulK_38,U1029,The headphones have crystal clear sound and great bass.,Positive
Amazon,AmitB_93,U1030,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Flipkart,MeeraJain_11,U1031,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,RahulK_17,U1032,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,PriyaS_13,U1033,Amazing product quality and quick delivery.,Positive
Amazon,PriyaS_10,U1034,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,KunalV_23,U1035,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,Vinay_71,U1036,The headphones have crystal clear sound and great bass.,Positive
Flipkart,SimranK_77,U1037,"Design is nice, but functionality could be better.",Neutral
